ico_name,ticker,platform,token,country,hardcap,softcap,raised,bounty_status,activy_status,twitter_status,bitcointalk_status,telegram_status,social_rating,profile_rating,team_rating_ib,team_rating_im,product_rating,vision_rating,icobench_rating,icomarks_rating,icobazaar_rating,aggregate_rating
Spiking,SPIKE,Ethereum,ERC20,Cayman Islands,32500000 USD,2000000 USD,32230000 USD,-,VERY HIGH,VERY HIGH,LOW,MEDIUM,10,Benchy,4.8,10,4.2,4.1,4.4,9.6,-,4.4
INLOCK,ILK,Ethereum,ERC20,Estonia,27500000 USD,15000000 USD,Unknown,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,8,Benchy,5.0,10,4.0,4.4,-,-,-,4.4
LAPO Blockchain,LAX,N/A,N/A,N/A,"50,000,000 CHF","500,000 CHF",Unknown,LOW,MEDIUM,MEDIUM,LOW,VERY LOW,N/A,Benchy,3.9,N/A,4.0,4.5,4.0,8.9,-,4.0
INGOT Coin,ICC,N/A,N/A,N/A,90000000 USD,37000000 USD,40000000 USD,VERY HIGH,HIGH,HIGH,VERY HIGH,-,N/A,Benchy,N/A,N/A,N/A,N/A,3.7,9.5,-,3.7
Resto,RESTO,N/A,N/A,N/A,50000 ETH,12500 ETH,2136000 USD,HIGH,-,-,HIGH,LOW,N/A,Benchy,5.0,N/A,4.0,4.5,4.3,9.3,-,4.3
TimeBox,TB COIN,Ethereum,ERC20,Taiwan,20000000 USD,4000000 USD,Unknown,VERY HIGH,HIGH,HIGH,-,-,9,Benchy,4.8,10,4.4,4.5,4.5,8.4,3.8,4.5
Trecento Blockchain Capital,TOT,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,-,-,-,-,N/A,Benchy,4.5,N/A,4.0,4.0,3.6,9.6,4.0,3.6
ARROUND,ARR,Ethereum,ERC20,Belize,30000000 USD,5000000 USD,30000000 USD,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,7,Benchy,4.5,10,4.4,4.6,4.5,8.6,4.9,4.5
LeadRex,LDX,Ethereum,ERC20,USA,10700 ETH,250 ETH,3152440 USD,VERY HIGH,HIGH,HIGH,VERY HIGH,-,10,Benchy,4.6,10,4.2,4.5,4.4,9.6,-,4.4
AGATE,AGT,Ethereum,ERC20,Singapore,24206000 USD,2000000 USD,N/A,VERY HIGH,HIGH,HIGH,VERY HIGH,MEDIUM,9,Benchy,4.1,10,3.8,4.2,3.9,9.7,4.3,3.9
ADAB SOLUTIONS,ADAB,N/A,N/A,N/A,18700000 USD,2500000 USD,7251100 USD,LOW,MEDIUM,MEDIUM,LOW,VERY LOW,N/A,Benchy,4.2,N/A,4.0,4.3,-,-,-,4.2
Luckchemy,LUK,Ethereum,ERC-20,UK,N/A,N/A,N/A,-,HIGH,HIGH,LOW,-,8,N/A,N/A,10,N/A,N/A,2.6,7.7,-,N/A
Luckchemy,LUK,Ethereum,ERC-20,UK,N/A,N/A,N/A,-,HIGH,HIGH,LOW,-,8,N/A,N/A,10,N/A,N/A,2.6,7.7,-,N/A
ApolloX Protocol,APXT,N/A,N/A,N/A,N/A,N/A,N/A,MEDIUM,LOW,LOW,MEDIUM,-,N/A,N/A,N/A,N/A,N/A,N/A,4.0,9.6,-,N/A
DUCATUR,DUCAT,Ethereum,ERC20,Estonia,15700 ETH,1270 ETH,6098288 USD,-,HIGH,HIGH,MEDIUM,VERY LOW,10,Benchy,4.2,10,4.0,4.8,3.6,9.8,-,3.6
PATRON / パトロン,,N/A,N/A,N/A,N/A,N/A,N/A,MEDIUM,-,-,MEDIUM,LOW,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A
Paymon,PMNT,N/A,N/A,N/A,3000000 USD,500000 USD,1092514 USD,HIGH,HIGH,HIGH,-,LOW,N/A,Benchy,4.4,N/A,4.2,4.4,-,-,-,4.3
Tip Blockchain,TIP,N/A,N/A,N/A,46450 ETH,N/A,352400 USD,VERY HIGH,MEDIUM,MEDIUM,VERY LOW,LOW,N/A,Benchy,4.0,N/A,4.0,4.0,3.9,8.8,-,3.9
SKYFchain,SKYFT,Ethereum,ERC20,Estonia,30000000 USD,5000000 USD,6200000 USD,VERY HIGH,MEDIUM,MEDIUM,-,-,9,Benchy,4.7,10,4.5,4.6,-,-,-,4.6
BCharity - International Charity Exchange,CHAR,N/A,N/A,N/A,35000000 USD,5000000 USD,Unknown,-,-,-,-,-,N/A,Benchy,3.7,N/A,3.6,4.3,3.7,9.0,-,3.7
TheFund.io,TFIO,N/A,N/A,N/A,N/A,N/A,N/A,HIGH,MEDIUM,MEDIUM,-,-,N/A,N/A,N/A,N/A,N/A,N/A,3.8,9.4,-,N/A
Konios Project,KON,N/A,N/A,N/A,29000000 USD,N/A,3050000739376712900000000 ETH,-,VERY HIGH,VERY HIGH,VERY HIGH,-,N/A,Benchy,4.0,N/A,4.0,4.0,-,-,-,2.8
