ico_name,ticker,platform,token,country,hardcap,softcap,raised,ih_hardcap,ih_softcap,ih_raised,bounty_status,facebook_status,twitter_status,bitcointalk_status,telegram_status,social_rating,profile_rating,team_rating_ib,team_rating_im,product_rating,vision_rating,icobench_rating,icomarks_rating,icobazaar_rating,aggregate_rating,date_ended
Customizable Basic Income,CBI,N/A,N/A,N/A,N/A,N/A,N/A,2000000000,"16000000.00",0,1,1,1,1,1,N/A,N/A,N/A,1,1,1,1,1,-,1,2017-10-29
Hope token,HOPE,N/A,N/A,N/A,N/A,N/A,N/A,200000000000,1000000000,0,1,1,1,-,1,N/A,N/A,N/A,N/A,1,1,1,N/A,-,1,2017-11-15
Coin,FUPOOF,N/A,N/A,N/A,N/A,N/A,N/A,1000000,"600000.00",0.66,5,1,1,1,1,1.3,1.2,N/A,N/A,N/A,N/A,N/A,N/A,-,1.3,2017-10-31
OFID,OFT,Ethereum,ERC20,China,20000000,N/A,Unknown,2000000000,2000000000,0,5,1,1,1,1,1,Benchy,1.5,5,N/A,N/A,1.8,3.7,1.9,1.8,"Dec, 2017"
Acuitty,ACUITTY TOKENS,N/A,N/A,N/A,N/A,N/A,N/A,21000000,21000000.00",0,5,1,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,1.6,2.1,1.9,1,2017-11-16
cryptex.network,XET,N/A,N/A,N/A,N/A,N/A,Unknown,2500000,"2500000.00",0,-,1,1,1,1,1,Benchy,1.0,1,1.0,1.0,1.1,2.3,-,1.1,2017-12-15
Proxy Card,EPRX,N/A,N/A,N/A,N/A,N/A,N/A,20000000,20000000,1,2,2,2,1,1,N/A,Benchy,1.2,1,2,1.5,1.7,4.2,-,1.7,2017-12-13
Hamilton,,Waves,"3,000,000 Hamilton",Russia,1000000,500000,Unknown,100000000,5000000,0,1,1,1,1,1,3,Benchy,2.0,1,2.0,3.0,1.7,3.7,1.9,1.7,2017-12-01
ESTATE COIN,ESTATE,N/A,N/A,N/A,N/A,N/A,N/A,100,100,100,3,-,3,3,3,4,N/A,N/A,3,4,4.1,3.8,4.5,1.6,4,2017-09-30
WIRE-X,,Ethereum,ERC223,N/A,N/A,N/A,Unknown,50000000,"50000000.00",0,-,1,1,1,1,4,Benchy,1.0,5,1.0,1.0,1.3,1.9,1.8,1.3,2017-10-20
Tomahawkcoin,TOM,Waves,"100,000,000 TOM (50%)",USA,N/A,N/A,N/A,500000000,5000000,0,3,1,1,1,1,1,N/A,N/A,1,1,1,1.1,2.1,1.3,1.2,2017-08-30
AQUA Rights,AQUA,N/A,N/A,N/A,N/A,N/A,N/A,33500000,500000,0,-,1,1,1,1,N/A,N/A,N/A,N/A,1,1,1.5,3.0,1.2,2,2017-09-15
ConPay,COP,N/A,N/A,N/A,N/A,N/A,N/A,6580000,658000,60,3,3,3,3,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,4,2017-11-01
Skye Properties,SKYE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6000000,0,-,1,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,1.4,3.5,1.3,1.4,2017-12-28
Vyral ICO,SHARE,N/A,N/A,N/A,N/A,N/A,N/A,100,100,100,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.2,4.7,2.3,4.7,2017-12-24
HOLDME,HME,Ethereum,"63,000,000 HME",USA,N/A,"500000",1022753,500000,1022753,100,2,-,-,-,1,7,Benchy,3,10,N/A,3.5,2.6,6.9,2.4,4.6,2017-12-15
GuideCTF,GCTF,Waves,"39,999,999 GCTF (45%)",Russia,N/A,1500000,Unknown,150000000,150000000,0,-,1,1,1,1,1,Benchy,2.0,1,2.0,2.0,1.7,2.8,2.0,1.7,2017-12-29
Devenetwork,DEV,N/A,N/A,N/A,N/A,N/A,N/A,3000000000,300000000,0,-,1,1,1,2,N/A,1,2,1.4,1.2,1.3,2.4,5.1,2.8,2.4,2018-03-30
