ico_name,ticker,platform,token,country,hardcap,softcap,raised,bounty_status,activy_status,twitter_status,bitcointalk_status,telegram_status,social_rating,profile_rating,team_rating_ib,team_rating_im,product_rating,vision_rating,icobench_rating,icomarks_rating,icobazaar_rating,aggregate_rating
Spiking,SPIKE,Ethereum,ERC20,Cayman Islands,32500000 USD,2000000 USD,32230000 USD,200000000,3250000000,99%,-,VERY HIGH,VERY HIGH,-,MEDIUM,10,Benchy,4.8,10,4.2,4.1,4.4,9.6,-,4.4
INLOCK,ILK,Ethereum,ERC20,Estonia,27500000 USD,15000000 USD,Unknown,2750000000,1500000000,89%,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,8,Benchy,5.0,10,4.0,4.4,-,-,-,4.3
LAPO Blockchain,LAX,N/A,N/A,N/A,50,000,000 CHF,500,000 CHF,Unknown,5000000000,3000000000,80%,LOW,MEDIUM,MEDIUM,-,VERY LOW,N/A,Benchy,3.9,N/A,4.0,4.5,4.0,8.9,-,4.0
INGOT Coin,ICC,N/A,N/A,N/A,90000000 USD,37000000 USD,40000000 USD,9000000000,9000000000,44%,VERY HIGH,HIGH,HIGH,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,3.7,9.5,-,3.7
Resto,RESTO,N/A,N/A,N/A,50000 ETH,12500 ETH,2136000 USD,5000000,1250000,51%,HIGH,-,-,HIGH,LOW,N/A,Benchy,5.0,N/A,4.0,4.5,4.3,9.3,-,4.3
TimeBox,TB COIN,Ethereum,ERC20,Taiwan,20000000 USD,4000000 USD,Unknown,2800000,2000000000,1%,VERY HIGH,HIGH,HIGH,-,-,9,Benchy,4.8,10,4.4,4.5,4.5,8.4,3.8,4.5
Trecento Blockchain Capital,TOT,N/A,N/A,N/A,N/A,N/A,N/A,500000000,2000000000,40%,VERY HIGH,-,-,-,-,N/A,Benchy,4.5,N/A,4.0,4.0,3.6,9.6,4.0,3.6
ARROUND,ARR,Ethereum,ERC20,Belize,30000000 USD,5000000 USD,30000000 USD,3000000000,500000000,17%,MEDIUM,MEDIUM,MEDIUM,-,LOW,7,Benchy,4.5,10,4.4,4.6,4.5,8.6,4.9,4.5
LeadRex,LDX,Ethereum,ERC20,USA,10700 ETH,250 ETH,3152440 USD,1070000,25000,10%,VERY HIGH,HIGH,HIGH,-,-,10,Benchy,4.6,10,4.2,4.5,4.4,9.6,-,4.4
AGATE,AGT,Ethereum,ERC20,Singapore,24206000 USD,2000000 USD,N/A,N/A,N/A,N/A,VERY HIGH,HIGH,HIGH,-,MEDIUM,9,Benchy,4.1,10,3.8,4.2,3.9,9.7,4.3,3.9
