ico_name,ticker,platform,token,country,hardcap,softcap,raised,bounty_status,activy_status,twitter_status,bitcointalk_status,telegram_status,social_rating,profile_rating,team_rating_ib,team_rating_im,product_rating,vision_rating,icobench_rating,icomarks_rating,icobazaar_rating,aggregate_rating,ih_end_date

Brixby,BRICK,Ethereum,110,966,480 BRICK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,LOW,-,-,-,VERY LOW,3,Benchy,3.0,10,3.0,3.0,2.8,5.5,3.1,2.8,2018-03-31
Kleos,KLS,Ethereum,ERC20,Italy,30000 ETH,3000 ETH,Unknown,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,-,7,Benchy,3.0,9,2.0,3.0,3.4,7.0,2.9,3.4,2018-02-26
AAA COIN,AAA,Ethereum,ERC20,UK,N/A,N/A,N/A,N/A,N/A,N/A,HIGH,MEDIUM,MEDIUM,-,-,5,N/A,N/A,10,N/A,N/A,-,-,-,N/A,2018-01-09
Trend Token ICO,TND,N/A,N/A,N/A,N/A,N/A,N/A,3000000000,50000000,N/A,LOW,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.8,5.8,3.0,N/A,2018-03-15
Cryptofitnessclub,GYM,Ethereum,ERC20,N/A,12000 ETH,600 ETH,Unknown,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,-,1,Benchy,N/A,1,N/A,N/A,1.8,3.3,-,1.8,2018-06-11
HighSeek,HISK,Waves,Waves,Russia,10000000 USD,6000000 USD,Unknown,N/A,N/A,N/A,-,-,-,-,-,3,Benchy,N/A,5,N/A,N/A,2.8,5.3,-,2.8,2018-05-30
Digitcoin ICO,DIGIT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.9,6.5,3.2,N/A,2018-02-14
Cryptofitnessclub,GYM,Ethereum,ERC20,N/A,12000 ETH,600 ETH,Unknown,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,-,1,Benchy,N/A,1,N/A,N/A,1.8,3.3,-,1.8,2018-06-11
HighSeek,HISK,Waves,Waves,Russia,10000000 USD,6000000 USD,Unknown,N/A,N/A,N/A,-,-,-,-,-,3,Benchy,N/A,5,N/A,N/A,2.8,5.3,-,2.8,2018-05-30
Bitxoxo,XOXO,Ethereum,ERC20,India & Australia,27500000 USD,5000000 USD,20000000 USD,N/A,N/A,100%,-,-,-,-,-,10,Benchy,3.0,4,2.0,2.0,-,-,-,3.1,2018-05-31
Rilcoin,RTK,N/A,N/A,USA,N/A,N/A,Unknown,N/A,3500000000,N/A,-,VERY LOW,VERY LOW,-,-,8,Benchy,N/A,8,N/A,N/A,2.6,6.8,2.3,2.6,2018-01-12
Cointed,CTD,Ethereum,650,000,000 CTD (100%),China,N/A,N/A,3559620330900000000 ETH,N/A,N/A,100%,MEDIUM,-,-,-,-,7,Benchy,3.7,6.2,3.7,3.7,2.8,6.4,4.1,2.8,2018-02-28
KredX ICO,KRT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1000000000,N/A,-,VERY LOW,VERY LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,3.0,5.8,3.2,N/A,2018-01-04
Pulsar Venture Capital ICO,PULSAR,N/A,N/A,N/A,N/A,N/A,N/A,5000000000,3000000000,52%,HIGH,LOW,LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.3,5.5,3.2,N/A,2018-05-13
Crypto Trust Network,CTN,N/A,N/A,N/A,10,500,000,500,000,Unknown,1050000000,50000,N/A,VERY LOW,-,-,-,-,N/A,Benchy,3.0,N/A,3.5,4.5,2.7,4.2,3.3,2.7,2018-02-22
Elysium,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-04-28
CoinCrowd,XCC,Ethereum,ERC20,Italy,4,900,000 EUR,N/A,N/A,N/A,N/A,N/A,VERY HIGH,-,-,-,VERY LOW,8,Benchy,3.7,10,3.7,3.7,2.9,7.7,2.8,2.9,2018-02-07
Hearthy,,Ethereum,109,923,077 HER,Gibraltar,60000 ETH,N/A,Unknown,N/A,N/A,N/A,VERY HIGH,LOW,LOW,-,-,5,Benchy,3.0,10,2.8,3.3,2.7,6.5,3.0,2.7,2018-02-25
REVV COIN ICO,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.6,3.2,2.4,N/A,2018-01-22
Keen,KNT,N/A,N/A,N/A,N/A,N/A,N/A,315000000,130000000,N/A,VERY LOW,VERY LOW,VERY LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.8,N/A,-,N/A,2018-12-31
SOLOBOT,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-05-15
LIFT Token ICO,LIFT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.6,6.2,-,N/A,2018-07-15
Retail.Global,RGT,N/A,N/A,N/A,N/A,N/A,Unknown,200000000,100000000,56%,-,MEDIUM,MEDIUM,-,-,N/A,Benchy,2.3,N/A,2.1,2.8,2.3,8.6,-,2.3,2018-08-31
EOZ,,Scrypt,Hybrid (PoW+PoS),N/A,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,LOW,LOW,-,-,6,N/A,N/A,1,N/A,N/A,N/A,4.6,-,N/A,2018-03-19
Sorbase,SOR,Ethereum,ERC20,N/A,105000 ETH,4000 ETH,19438940 USD,N/A,10500000,N/A,-,VERY LOW,VERY LOW,-,-,2,Benchy,N/A,10,N/A,N/A,2.8,5.1,-,2.8,2018-01-06
Edgecoin Pre ICO,EST,N/A,N/A,N/A,N/A,N/A,N/A,800000,100000,N/A,MEDIUM,LOW,LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2018-04-01
Totum,TMC,Ethereum,ERC20,Russia,N/A,N/A,Unknown,4950000,330000,N/A,VERY HIGH,-,-,-,-,1,Benchy,2.5,9,3.5,4.0,2.9,5.1,-,2.9,2018-01-31
FreelancerCoin,LAN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,LOW,LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2018-02-28
