ico_name,ticker,platform,token,country,hardcap,softcap,raised,ih_hardcap,ih_softcap,ih_raised,bounty_status,activy_status,twitter_status,bitcointalk_status,telegram_status,social_rating,profile_rating,team_rating_ib,team_rating_im,product_rating,vision_rating,icobench_rating,icomarks_rating,icobazaar_rating,aggregate_rating,date_ended

Advanced Initial Offering,,N/A,N/A,N/A,N/A,N/A,N/A,4000000,2000000000,5,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,3.7,5.8,-,N/A,2018-12-22
Betform,GEM,Ethereum,ERC20,Singapore,16900000,1500000,N/A,N/A,N/A,N/A,-,-,-,-,-,1,Benchy,3.9,10,3.9,3.9,3.9,6.3,-,3.9,2018-10-31
QUBay,QUC,N/A,N/A,N/A,N/A,N/A,N/A,500000,100000,N/A,-,3,3,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-12-30
Secret Trees,STCT,N/A,N/A,N/A,N/A,N/A,N/A,2500000,5000000,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,3.3,6.2,-,N/A,2018-12-31
WorldFarm Gardens,WFARM,N/A,N/A,N/A,N/A,N/A,N/A,100000000,12000000,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-04-05
Instant Sponsor,,N/A,N/A,N/A,35000000,3000000,,N/A,N/A,N/A,-,4,4,-,-,N/A,Benchy,3.0,N/A,3.0,5.0,3.8,6.3,-,3.7,2018-10-31
STOREDIG,SDIG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-11-04
Arium 2.0,XRM,N/A,N/A,N/A,100000000,5000000,,N/A,N/A,N/A,-,-,-,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,3.8,6.8,-,3.8,2018-11-30
MIMIC,MIMIC,N/A,N/A,N/A,"450,000,000",1000000,N/A,N/A,N/A,N/A,-,2,2,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,3.8,7.9,-,3.8,2018-12-31
Gainfy,GAIN,Ethereum,ERC223,USA,N/A,N/A,N/A,N/A,N/A,N/A,-,2,2,-,-,8,N/A,N/A,10,N/A,N/A,3.7,7.7,-,N/A,2018-11-16
INEREX,REX,N/A,N/A,N/A,N/A,N/A,N/A,N/A,900000000,100,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-11-20
Enecuum,ENQ,Ethereum,ERC20,Hong Kong,23870246,5967552,1500000,N/A,N/A,N/A,-,4,4,-,-,8,Benchy,N/A,9,N/A,N/A,-,-,-,3.2,2018-12-31
Coupon Chain,,N/A,N/A,N/A,24000000,4000000,2000000,N/A,N/A,N/A,-,-,-,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,-,-,-,4.0,2018-12-01
Venus,VNS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,4,4,-,-,N/A,N/A,N/A,N/A,N/A,N/A,3.5,8.1,-,N/A,2018-10-29
Tru Reputation Network,TRU,N/A,N/A,N/A,4000,3000000,N/A,N/A,N/A,N/A,2,1,1,-,-,N/A,Benchy,3.0,N/A,3.0,3.0,3.4,7.9,3.5,3.4,2018-03-05
Skynavpro,SNP,Ethereum,ERC20,Germany,9000000,N/A,9000000,N/A,200,N/A,-,1,1,-,-,8,Benchy,N/A,10,N/A,N/A,3.2,7.6,-,3.2,2018-12-31
AirCraft,,Ethereum,ERC20,Switzerland,15000000,6500000,6778540,N/A,N/A,N/A,-,1,1,-,-,7,Benchy,5.0,7,4.0,5.0,3.5,7.7,-,3.5,2018-12-01
CYBR,CYBR,Ethereum,ERC20,USA,15000000,2000000,2000000,N/A,N/A,N/A,-,-,-,-,-,8,Benchy,N/A,10,N/A,N/A,-,-,-,3.9,2018-11-30
Magnetics,KLIX,Ethereum,ERC20,UK,35677500,5000000,,N/A,N/A,N/A,-,1,1,-,-,8,Benchy,N/A,10,N/A,N/A,2.9,7.9,-,2.9,2018-12-08
Honest Mining,HNST,N/A,N/A,N/A,20000,5000,600000,N/A,N/A,N/A,-,1,1,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,-,-,-,3.2,2018-12-15
CYBR,CYBR,Ethereum,ERC20,USA,15000000,2000000,2000000,N/A,N/A,N/A,-,-,-,-,-,8,Benchy,N/A,10,N/A,N/A,-,-,-,3.9,2018-11-30
Qkip,QKIP,Hyperledger,ERC20,Australia,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,1,N/A,N/A,10,N/A,N/A,3.8,5.6,-,N/A,2018-12-18
Bancryp,XBANC,Ethereum,ERC20,Brazil,40000000,N/A,,N/A,N/A,N/A,-,-,-,-,-,9,Benchy,N/A,5,N/A,N/A,3.3,7.4,-,3.3,2018-12-31
POINS,PIN,Own,Own,Indonesia,"20,000,000","3,000,000",,300000000,500000000,N/A,2,-,-,-,-,7,Benchy,N/A,10,N/A,N/A,2.9,7.7,-,2.9,2018-12-15
Parinita Bansode Coin,PBC,N/A,N/A,N/A,827750,N/A,,N/A,N/A,N/A,-,-,-,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,-,-,-,2.9,2018-10-31
EarthBi,ERA,Ethereum,ERC20,Italy,48000000,N/A,1500000,N/A,N/A,N/A,-,4,4,-,-,9,Benchy,N/A,10,N/A,N/A,-,-,-,3.7,2018-11-30
E-Verify,EVER,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,2,2,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-07-25
Delphi Tech Token (DTT),DTT,N/A,N/A,N/A,N/A,N/A,N/A,2500000000,10000000000,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-07-11
Ohni,OHNI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-06-30
InChainZ,ICZ,N/A,N/A,N/A,N/A,N/A,N/A,2250000000,500000000,3,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,"Nov, 2018"
PGF500,PGF7T,Ethereum,ERC20,Switzerland,"22,000,000 ","6,000,000 ",,N/A,N/A,N/A,-,2,2,-,-,8,Benchy,N/A,10,N/A,N/A,3.8,7.7,-,3.8,2018-11-23
Cycoin,CYCOIN,Ethereum,ERC20,Seychellles,N/A,N/A,N/A,N/A,N/A,N/A,-,2,2,-,-,6,N/A,N/A,10,N/A,N/A,3.8,7.6,-,N/A,2018-11-10
GemmyMusic,GMC,N/A,N/A,N/A,N/A,N/A,N/A,350000000000," 1 000 000 000.00 GMC",N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,"Dec, 2018"
NewChain,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,"Aug, 2018"
Sendy ICO,SNDY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-11-30
NewChain,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,"Aug, 2018"
CoinStruction,CNS,Ethereum,ERC20,Estonia,8000000,2500000,,N/A,N/A,N/A,-,1,1,-,-,4,Benchy,N/A,10,N/A,N/A,3.2,6.5,-,3.2,2018-12-30
Influbook,BOOK,Ethereum,ERC20,France,"32,000,000 ","4,000,000 ",N/A,3200000000,2000000000,N/A,-,-,-,-,-,1,Benchy,N/A,10,N/A,N/A,3.0,5.3,-,3.0,2018-10-25
AngryToken,,N/A,"Available for sale:104,000,000  (56%)",USA,"104,000,000",3000000,N/A,100000000,100000000,N/A,-,1,1,-,-,5,Benchy,N/A,4,N/A,N/A,3.2,5.5,-,3.2,2018-12-09
Flexion,FXN,Ethereum,ERC20,Singapore,5400000,900000,5625000,N/A,N/A,N/A,-,-,-,-,-,7,Benchy,N/A,10,N/A,N/A,3.0,7.9,-,3.0,2018-12-31
Renaissance Engineering,RE,N/A,N/A,N/A,600000,"210,000 WAVES",,N/A,N/A,N/A,-,-,-,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,3.4,7.4,-,3.4,2018-11-15
BOUNTY BUSTERS,XBBT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2018-10-20
Cryptonity,XNY,Ethereum,ERC20,France,20120000,500000,500000,N/A,N/A,N/A,-,-,-,-,-,10,Benchy,N/A,10,N/A,N/A,-,-,-,3.3,2018-12-31
Cryptonity,XNY,Ethereum,ERC20,France,20120000,500000,500000,N/A,N/A,N/A,-,-,-,-,-,10,Benchy,N/A,10,N/A,N/A,-,-,-,3.3,2018-12-31
Clean SL8 Shills (SL8),SL8,N/A,N/A,N/A,N/A,N/A,N/A,31500000,10000000,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-05-09
Navibration,,Ethereum,ERC20,Estonia,1500000,100000,,N/A,N/A,N/A,-,3,3,-,-,8,Benchy,3.6,10,3.0,3.3,3.5,8.8,-,3.5,2018-11-05
2TF,2TF,Ethereum,ERC20,Cayman Islands,64000,2400,,N/A,N/A,N/A,-,1,1,-,-,1,Benchy,N/A,10,N/A,N/A,3.3,5.3,-,3.3,2018-11-04
IDOM,IDOM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,"Sep, 2018"
Job.com,,N/A,N/A,N/A,25000000,2500000,N/A,N/A,N/A,N/A,-,4,4,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,3.3,8.3,-,3.3,2018-08-31
SociaLife,SLIFE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-11-30
MyEtherPony,DKL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30000000,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-11-30
DEZOS,DOS,Ethereum,ERC20,Switzerland,N/A,N/A,N/A,9000000,100000,51,-,4,4,-,-,10,N/A,N/A,10,N/A,N/A,3.0,9.1,-,N/A,2018-12-31
Sparrow ICO,,N/A,N/A,N/A,N/A,N/A,N/A,1880000000,500000000,37,-,2,2,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,"Aug, 2018"
Palladium Token Magic,,N/A,N/A,N/A,N/A,N/A,N/A,14400000,100000,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-10-31
CannAvenue,CANA,Ethereum,ERC20,Canada,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,3,N/A,N/A,9,N/A,N/A,3.3,5.8,-,N/A,2018-12-26
USDX Wallet,USDX,N/A,N/A,N/A,500000000,N/A,N/A,N/A,N/A,N/A,-,5,5,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,3.2,7.6,-,3.2,2018-12-31
Sparrow ICO,,N/A,N/A,N/A,N/A,N/A,N/A,1880000000,500000000,37,-,2,2,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,"Aug, 2018"
USDX Wallet,USDX,N/A,N/A,N/A,500000000,N/A,N/A,N/A,N/A,N/A,-,5,5,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,3.2,7.6,-,3.2,2018-12-31
